Date,ConfirmedGrowth,DailyDeaths,DailyHospitalized,DailyTests,Confirmed,Tests,Hospitalized,Deaths,DeathsConfirmed,DeathsProbable,PositivePct,CurrentlyHospitalized,CurrentlyInICU,CurrentlyOnVentilator,Geography,ID Geography,ConfirmedPC,DailyDeathsPC,DeathsPC,DailyTestsPC,TestsPC,DailyHospitalizedPC,HospitalizedPC,ConfirmedGrowthPC,ConfirmedSmooth,ConfirmedPCSmooth,DailyDeathsSmooth,DailyDeathsPCSmooth,DeathsSmooth,DeathsPCSmooth,DailyTestsSmooth,DailyTestsPCSmooth,TestsSmooth,TestsPCSmooth,DailyHospitalizedSmooth,DailyHospitalizedPCSmooth,HospitalizedSmooth,HospitalizedPCSmooth,ConfirmedGrowthSmooth,ConfirmedGrowthPCSmooth,Timestamp
"4/1",26204,1006,1278,123021,223169,1306569,8004,5336,1211,157,17.080536887068344,20906,3937,561,"United States","01000US",68.21247269658764,0.30748781207411047,1.6309691503255004,37.60184704688782,399.3578957593026,0.3906256698118421,2.446453725488251,8.009354500586472,236521.06666666668,72.2935837959922,1010.4,0.30883268918457385,6570.6,2.0083294413659547,128958.8,39.41675870745805,1394624.6666666667,426.27245270170874,1073.9333333333334,0.32825189958262724,8626.533333333333,2.636733459692892,24656.666666666668,7.536406050073543,1585713600000
"4/2",28135,1176,1320,131146,251304,1437715,9324,6512,1519,184,17.47940308058273,22995,4513,576,"United States","01000US",76.81204485633425,0.35944897316019275,1.9904181234856932,40.08528489291381,439.4431806522164,0.40346313313899185,2.8499168586272425,8.599572159746618,262666.73333333334,80.28510848640208,1131.2666666666667,0.3457760558704825,7701.866666666667,2.354105497236437,134864.33333333334,41.22180793588488,1529489,467.49426063759364,1094.2,0.3344464850611249,9720.733333333334,2.9711799447540175,26145.666666666668,7.991524690409874,1585800000000
"4/3",31835,1288,1189,142407,283139,1580122,10513,7800,1762,215,17.918806269389325,25723,4928,623,"United States","01000US",86.54253640442501,0.39368220869925874,2.384100332184952,43.527253334033645,482.9704339862501,0.36342247371383435,3.213339332341077,9.730491548090763,289891.4666666667,88.60645409969013,1249.1333333333334,0.3818024608901663,8951,2.7359079581266035,138119.4,42.21673172066491,1667608.4,509.7109923582585,1181.4666666666667,0.36111988108531373,10902.2,3.332299825839331,27224.733333333334,8.321345613288043,1585886400000
"4/4",33122,1478,1732,231115,316261,1811237,12245,9278,2087,265,17.46105010001452,30456,5500,656,"United States","01000US",96.66640450732629,0.45175644756017425,2.835856779745126,70.64119849652887,553.611632482779,0.529392535300556,3.742731867641633,10.123868102901278,317923.4,97.17452353197044,1360.3333333333333,0.41579117331823895,10311.333333333334,3.1516991314448424,141938.66666666666,43.38410542947297,1809547.0666666667,553.0950977877316,1210.2666666666667,0.36992271308107366,12112.466666666667,3.7022225389204046,28031.933333333334,8.568069432280312,1585972800000
"4/5",25843,1341,1131,129412,342104,1940649,13376,10619,2346,335,17.628329491834947,32180,5811,650,"United States","01000US",104.56541795407702,0.4098818648025667,3.245738644547693,39.55528104983577,593.1669135326147,0.34569454816681805,4.088426415808451,7.8990134467507325,346514.2,105.91341273420552,1436.8666666666666,0.439183884269934,11748.2,3.590883015714776,143884.6,43.97888752003833,1953431.6666666667,597.0739853077698,1211.0666666666666,0.370167236192067,13323.533333333333,4.072389775112471,28590.8,8.738889202235066,1586059200000
"4/6",28260,1313,883,137734,370364,2078383,14259,11932,2620,408,17.819814730971146,36159,7079,2961,"United States","01000US",113.20319684991635,0.4013235559178002,3.647062200465493,42.09893271194387,635.2658462445586,0.26989238375888625,4.358318799567337,8.637778895839325,375401.86666666664,114.74304038754502,1511.8,0.46208754899964244,13260,4.0529705647144185,146464.46666666667,44.76743379913998,2099896.1333333333,641.8414191069098,1338.2666666666667,0.4090464108400062,14661.8,4.481436185952478,28887.666666666668,8.829627653339509,1586145600000
"4/7",30416,2044,1613,169756,400780,2248139,15872,13976,3046,484,17.82718951096885,43849,9978,4047,"United States","01000US",122.4999655298827,0.624756548587954,4.271818749053447,51.88658153722932,687.1524277817879,0.4930197225402984,4.8513385221076355,9.296768679966346,404609.8,123.67055879298552,1629.9333333333334,0.4981954617229905,14889.933333333332,4.551166026437409,150413.13333333333,45.97435912115122,2250309.2666666666,687.815778228061,1394.4,0.4262037824613714,16056.2,4.907639968413849,29207.933333333334,8.927518405440505,1586232000000
"4/8",30964,1997,1317,165594,431744,2413733,17189,15973,3516,558,17.886982528722108,45359,10276,4142,"United States","01000US",131.96423254087946,0.610390815817096,4.882209564870543,50.61445005228653,737.7668778340744,0.4025461714727669,5.253884693580402,9.464267010996776,434140,132.6965792583045,1738.8,0.5314709817439993,16628.733333333334,5.0826370081814085,152727.2,46.68166259662533,2403036.466666667,734.4974408246864,1374.4,0.4200907046865382,17430.6,5.327730673100388,29530.2,9.026020465318984,1586318400000
"4/9",34992,2054,1177,171012,466736,2584745,18366,18027,3930,641,18.057332541507964,51323,12445,5798,"United States","01000US",142.65967341572767,0.6278130874753707,5.5100226523459135,52.27048282148885,790.0373606555632,0.3597546270489344,5.6136393206293365,10.695440874848185,464007.6666666667,141.82574772261083,1818.1333333333334,0.5557195235841711,18446.866666666665,5.638356531765579,156728.86666666667,47.90478757473988,2559765.3333333335,782.4022283994262,1373.2666666666667,0.4197442969459643,18803.866666666665,5.747474970046353,29867.666666666668,9.129168464306336,1586404800000
"4/10",33778,2081,1965,155771,500514,2740516,20331,20108,4606,705,18.263494903879415,53167,12693,5937,"United States","01000US",152.98405046964348,0.6360657424713955,6.146088394817309,47.6120119031772,837.6493725587404,0.6006098913773629,6.2142492120067,10.324377053915809,494099.6666666667,151.02348454262489,1880.8,0.5748738339453151,20327.666666666668,6.213230365710895,159462.4,48.74030266807816,2719227.7333333334,831.1425310675045,1371.2,0.41911261224256485,20175.066666666666,6.166587582288917,30092,9.19773682001405,1586491200000
"4/11",31323,2079,1208,158549,531837,2899065,21539,22187,5098,787,18.34512161679714,55563,13856,5986,"United States","01000US",162.5580472266985,0.6354544346939122,6.7815428295112214,48.461118406101534,886.110490964842,0.3692298975999259,6.583479109606626,9.573996757055031,523907.5333333333,160.1343749043845,1921.3333333333333,0.5872630049023104,22249,6.8004933706132045,161467.33333333334,49.353118338079284,2880695.066666667,880.4956494055838,1389.8666666666666,0.4248181514990758,21564.933333333334,6.591405733787994,29807.866666666665,9.110890361759584,1586577600000
"4/12",28168,1698,694,140619,560005,3039684,22233,23885,5511,876,18.423132141367326,55294,14188,5962,"United States","01000US",171.1677059647736,0.5190003030833396,7.300543132594561,42.98074418096356,929.0912351458056,0.2121237987867124,6.795602908393338,8.609658738075094,553302.6,169.11909134087148,1940.4666666666667,0.5931111826402342,24189.466666666667,7.3936045532534385,156168.26666666666,47.7334380047113,3036863.3333333335,928.2290874102948,1321.4666666666667,0.40391142550914627,22886.4,6.99531715929714,29395.066666666666,8.984716436487027,1586664000000
"4/13",24136,1630,2467,125672,584141,3165356,24700,25515,5805,963,18.454195989329477,56283,14199,6170,"United States","01000US",178.5449682234423,0.4982158386489066,7.798758971243468,38.41213550594196,967.5033706517476,0.7540481435256765,7.549651051919015,7.3772622586687175,582599.8666666667,178.07391482703957,1972,0.6027494685985545,26161.466666666667,7.9963540218519915,157088.6,48.0147414669832,3193951.933333333,976.2438288772781,1305.2,0.3989394555856153,24191.6,7.394256614882753,29297.266666666666,8.954823486168094,1586750400000
"4/14",25943,2356,1466,159822,610084,3325178,26166,27871,6489,1032,18.34740877029741,59601,14735,5981,"United States","01000US",186.47454705906722,0.7201205618753521,8.51887953311882,48.85021580646966,1016.3535864582173,0.4480886008952743,7.997739652814289,7.929578835624898,611836.7333333333,187.01027681832772,2049.6666666666665,0.6264885872908235,28211.133333333335,8.622842609142817,159015.33333333334,48.60365500288473,3352967.2666666666,1024.8474838801626,1341.7333333333333,0.41010601098764393,25533.333333333332,7.8043626258703975,29236.866666666665,8.936361991288097,1586836800000
"4/15",29834,2541,1176,149278,639918,3474456,27342,30412,7160,1098,18.4177897201749,59930,15302,6033,"United States","01000US",195.5934251757859,0.7766665312925594,9.29554606441138,45.6274012035776,1061.9809876617949,0.35944897316019275,8.357188625974482,9.1188781167187,640997.4,195.92334798329367,2052.866666666667,0.6274666797347966,30264,9.250309288877613,170039.4,51.973203849298706,3523006.6666666665,1076.8206877294613,1340.2666666666667,0.4096577186174895,26873.6,8.214020344487887,29189.266666666666,8.921812866183993,1586923200000
"4/16",31266,2196,1261,183046,671184,3657502,28603,32608,7762,1164,18.350885385708608,59500,15830,5940,"United States","01000US",205.14999966118268,0.6712159396766865,9.966762004088066,55.94872171860599,1117.9297093804007,0.3854295537032339,8.742618179677715,9.556574485396757,670223,204.85626627410193,2053.4666666666667,0.6276500720680418,32317.466666666667,9.877959360945654,173461.33333333334,53.01913107964676,3696468,1129.8398188091082,1346.4,0.41153239580177176,28220,8.625552740289658,29254.2,8.941659992026283,1587009600000
"4/17",31500,2116,1289,172149,702684,3829651,29892,34724,8338,1216,18.34851269737112,58904,15493,6098,"United States","01000US",214.77809715654496,0.6467636285773536,10.61352563266542,52.618011292988115,1170.547720673389,0.3939878625880004,9.136606042265715,9.628097495362306,699196.9333333333,213.7122616695769,2044.2666666666667,0.6248380562916185,34361.73333333333,10.502797417237275,178437.46666666667,54.54010558387709,3874905.466666667,1184.3799243929855,1359.8666666666666,0.41564853483682607,29579.866666666665,9.041201275126486,29005.466666666667,8.865633681433277,1587096000000
"4/18",27573,1896,1469,172481,730257,4002132,31361,36620,8818,1279,18.24669950916162,57798,15388,5733,"United States","01000US",223.20589183081879,0.5795197730541883,11.193045405719607,52.719488384050344,1223.2672090574392,0.44900556256149926,9.585611604827216,8.427794674273805,728632.1333333333,222.70924501546543,2010.6666666666667,0.6145680856298986,36372.4,11.117365502867175,186440.53333333333,56.98627403240252,4061346,1241.366198425388,1311.1333333333334,0.4007530019921492,30891,9.441954277118635,29466.733333333334,9.006621631846846,1587182400000
"4/19",26930,1765,706,151629,757187,4153761,32067,38385,9185,1330,18.228949619393124,56491,15005,5603,"United States","01000US",231.4371510546317,0.5394791136290308,11.732524519348638,46.34599349600924,1269.6132025534484,0.2157916454516123,9.801403250278828,8.231259223812918,757800.7333333333,231.62474103461537,1951.8666666666666,0.596595636971889,38324.26666666667,11.713961139839062,189576.06666666668,57.94466198901495,4250922.066666666,1299.310860414403,1296.8666666666666,0.39639233984610145,32187.866666666665,9.838346616964737,29200.133333333335,8.925134305108319,1587268800000
"4/20",24376,1814,887,143217,781563,4296978,32954,40199,9779,1377,18.188666546582272,56720,15099,5569,"United States","01000US",238.88777024659842,0.5544561541773722,12.28698067352601,43.77483298391439,1313.3880355373628,0.27111499931385286,10.07251824959268,7.450619191966717,786585.0666666667,240.4227844527849,1921.5333333333333,0.5873241356800587,40245.8,12.301285275519122,193171.53333333333,59.04363035752264,4444093.6,1358.3544907719256,1327.6666666666667,0.4058064796193445,33515.53333333333,10.244153096584082,28815.866666666665,8.807681704127857,1587355200000
