week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2018-02-10","2018-02-03","04000US13","Georgia",6173,30715,4211074,0.73,1518238800000,"February 10th, 2018","04000US13","Georgia"
"2018-02-10","2018-02-03","04000US26","Michigan",12417,91238,4222916,2.16,1518238800000,"February 10th, 2018","04000US26","Michigan"
"2018-02-10","2018-02-03","04000US36","New York",16085,175024,9098147,1.92,1518238800000,"February 10th, 2018","04000US36","New York"
"2018-02-10","2018-02-03","04000US42","Pennsylvania",15628,154960,5670963,2.73,1518238800000,"February 10th, 2018","04000US42","Pennsylvania"
"2018-02-10","2018-02-03","04000US48","Texas",13738,129893,11706892,1.11,1518238800000,"February 10th, 2018","04000US48","Texas"
"2018-02-03","2018-01-27","04000US13","Georgia",6141,30944,4211074,0.73,1517634000000,"February 3rd, 2018","04000US13","Georgia"
"2018-02-03","2018-01-27","04000US26","Michigan",11852,86890,4222916,2.06,1517634000000,"February 3rd, 2018","04000US26","Michigan"
"2018-02-03","2018-01-27","04000US36","New York",17128,177493,9098147,1.95,1517634000000,"February 3rd, 2018","04000US36","New York"
"2018-02-03","2018-01-27","04000US42","Pennsylvania",17048,144440,5670963,2.55,1517634000000,"February 3rd, 2018","04000US42","Pennsylvania"
"2018-02-03","2018-01-27","04000US48","Texas",14131,136766,11706892,1.17,1517634000000,"February 3rd, 2018","04000US48","Texas"
"2018-01-27","2018-01-20","04000US13","Georgia",7912,32673,4211074,0.78,1517029200000,"January 27th, 2018","04000US13","Georgia"
"2018-01-27","2018-01-20","04000US26","Michigan",12320,90351,4222916,2.14,1517029200000,"January 27th, 2018","04000US26","Michigan"
"2018-01-27","2018-01-20","04000US36","New York",18282,179813,9098147,1.98,1517029200000,"January 27th, 2018","04000US36","New York"
"2018-01-27","2018-01-20","04000US42","Pennsylvania",18637,160288,5670963,2.83,1517029200000,"January 27th, 2018","04000US42","Pennsylvania"
